epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.0083,4.04914,17.2341,2.18088,0.03432,0.45297,0.03325,0.01171,3.90474,15.7892,2.06555,0.000368299,0.000368299,0.000368299
2,140.81,3.82208,13.3906,1.98839,0.02203,0.38142,0.02991,0.01058,3.83396,16.3143,2.1276,0.000731319,0.000731319,0.000731319
3,204.57,3.7953,12.8547,1.96836,0.03771,0.48734,0.05245,0.01962,3.66293,16.685,2.00682,0.00108701,0.00108701,0.00108701
4,268.131,3.75246,12.4261,1.9451,0.1003,0.21815,0.05811,0.01999,3.74925,12.3668,2.03103,0.001078,0.001078,0.001078
5,332.771,3.66458,11.8786,1.89569,0.21628,0.19532,0.09328,0.03497,3.58023,13.4216,1.98019,0.001067,0.001067,0.001067
6,396.74,3.61359,11.2647,1.86541,0.09311,0.16769,0.04992,0.01898,3.68944,15.6344,1.97768,0.00105601,0.00105601,0.00105601
7,461.173,3.57453,10.9729,1.84988,0.1251,0.1963,0.05172,0.0192,3.60694,15.2061,1.97704,0.00104501,0.00104501,0.00104501
8,525.666,3.51617,10.6775,1.83041,0.20202,0.17146,0.05969,0.01964,3.76828,17.1329,2.07241,0.00103401,0.00103401,0.00103401
9,589.459,3.4888,10.461,1.80228,0.17344,0.20002,0.08426,0.03191,3.56888,12.849,1.91971,0.00102301,0.00102301,0.00102301
10,654.176,3.45287,10.1945,1.80536,0.22012,0.13692,0.09586,0.03218,3.58328,15.9181,2.07355,0.00101201,0.00101201,0.00101201
11,719.68,3.40217,9.92756,1.77481,0.22677,0.20313,0.08307,0.0322,3.61287,14.1641,1.99063,0.00100101,0.00100101,0.00100101
12,783.806,3.37286,9.61144,1.75207,0.18345,0.24078,0.07769,0.02816,3.65693,14.0333,2.01817,0.000990012,0.000990012,0.000990012
13,848.045,3.35334,9.29761,1.73729,0.22224,0.17437,0.1197,0.04728,3.56784,16.4551,1.92733,0.000979013,0.000979013,0.000979013
14,914.273,3.30902,9.234,1.7387,0.16469,0.21477,0.09145,0.03453,3.63967,12.5052,1.96935,0.000968014,0.000968014,0.000968014
15,977.998,3.30017,8.94101,1.71257,0.23144,0.1704,0.09448,0.03593,3.59544,15.0794,2.00461,0.000957015,0.000957015,0.000957015
16,1041.65,3.2731,8.75654,1.69814,0.34003,0.16442,0.10755,0.04532,3.52793,15.9397,2.03476,0.000946016,0.000946016,0.000946016
17,1104.97,3.23174,8.31978,1.6921,0.26253,0.16458,0.08459,0.03051,3.64221,14.39,2.01095,0.000935018,0.000935018,0.000935018
18,1167.76,3.1727,8.22184,1.67666,0.27629,0.17281,0.06703,0.02601,3.54283,17.764,1.97209,0.000924019,0.000924019,0.000924019
19,1230.77,3.14383,7.87485,1.64648,0.2683,0.20999,0.09796,0.03812,3.67413,16.3069,2.01197,0.00091302,0.00091302,0.00091302
20,1293.54,3.11451,7.66111,1.64375,0.19206,0.17137,0.08595,0.03523,3.61452,14.7713,1.97114,0.000902021,0.000902021,0.000902021
21,1356.78,3.08373,7.36123,1.622,0.19337,0.19156,0.07696,0.03113,3.65065,14.5291,2.04385,0.000891022,0.000891022,0.000891022
22,1420.2,3.08869,7.22103,1.63681,0.22063,0.2157,0.09983,0.03869,3.64569,15.0524,1.99888,0.000880023,0.000880023,0.000880023
23,1483.56,3.01267,6.81957,1.59523,0.19596,0.21518,0.10332,0.04016,3.80878,13.3941,2.10403,0.000869024,0.000869024,0.000869024
24,1547.88,2.98355,6.78858,1.58455,0.22844,0.15305,0.0877,0.03463,3.61971,16.7527,1.95178,0.000858025,0.000858025,0.000858025
25,1611.27,2.9694,6.62334,1.56588,0.24287,0.14046,0.06307,0.02337,3.68729,17.8551,1.99325,0.000847026,0.000847026,0.000847026
26,1678.09,2.93509,6.4615,1.56386,0.24533,0.15868,0.08066,0.02904,3.76088,18.4862,2.00326,0.000836027,0.000836027,0.000836027
27,1742.06,2.88672,6.14256,1.54351,0.17956,0.14084,0.05773,0.0216,3.65584,18.8517,1.99433,0.000825029,0.000825029,0.000825029
28,1805.77,2.83071,6.03551,1.52141,0.17637,0.16271,0.07928,0.02986,3.76429,15.434,2.06206,0.00081403,0.00081403,0.00081403
29,1869.07,2.83295,5.90621,1.51712,0.28323,0.12939,0.08413,0.03397,3.75107,18.5581,2.11682,0.000803031,0.000803031,0.000803031
30,1932.86,2.78897,5.71609,1.49429,0.20147,0.11513,0.05831,0.02093,3.79145,18.867,2.05444,0.000792032,0.000792032,0.000792032
31,1996.13,2.75922,5.39694,1.47534,0.18994,0.13666,0.06446,0.023,3.919,18.7583,2.12295,0.000781033,0.000781033,0.000781033
32,2059.61,2.71626,5.26825,1.46698,0.15517,0.14754,0.0801,0.03068,3.82056,13.8554,2.09011,0.000770034,0.000770034,0.000770034
33,2125.11,2.69356,5.14878,1.45087,0.18265,0.1522,0.06815,0.02671,3.80635,21.1135,2.05189,0.000759035,0.000759035,0.000759035
34,2188.21,2.65793,4.99042,1.43473,0.17512,0.13289,0.06215,0.0248,3.855,19.5336,2.08317,0.000748036,0.000748036,0.000748036
35,2250.88,2.63124,4.91861,1.42213,0.17057,0.13537,0.05413,0.02143,4.01743,19.9949,2.09776,0.000737037,0.000737037,0.000737037
36,2314,2.57716,4.75996,1.39998,0.17757,0.10543,0.06176,0.02405,3.97782,18.9615,2.11415,0.000726038,0.000726038,0.000726038
37,2378.17,2.56149,4.64546,1.39596,0.15874,0.12155,0.06942,0.02802,3.85796,20.1883,2.09683,0.00071504,0.00071504,0.00071504
38,2441.06,2.52775,4.52841,1.37895,0.15806,0.14057,0.07894,0.03186,3.98519,18.4,2.16289,0.000704041,0.000704041,0.000704041
39,2504.64,2.48001,4.42523,1.35707,0.21384,0.12145,0.08559,0.03371,3.91159,20.1883,2.14378,0.000693042,0.000693042,0.000693042
40,2567.62,2.46743,4.22798,1.34601,0.17817,0.10468,0.06177,0.02429,4.02674,19.9689,2.14643,0.000682043,0.000682043,0.000682043
41,2629.76,2.43517,4.17783,1.34061,0.1756,0.12334,0.0614,0.02389,4.01562,21.6341,2.17398,0.000671044,0.000671044,0.000671044
42,2692.75,2.42553,4.11458,1.33449,0.13205,0.08628,0.04669,0.01906,4.07762,21.9373,2.18926,0.000660045,0.000660045,0.000660045
43,2756.07,2.35783,3.9636,1.31173,0.17312,0.1304,0.07786,0.03126,4.124,18.2436,2.21291,0.000649046,0.000649046,0.000649046
44,2819.54,2.3456,3.90152,1.303,0.13118,0.12114,0.05692,0.02247,4.0204,20.3248,2.1408,0.000638047,0.000638047,0.000638047
45,2888.06,2.32118,3.8413,1.29369,0.14733,0.12206,0.06518,0.02618,4.04989,19.0996,2.12948,0.000627048,0.000627048,0.000627048
46,2952.74,2.29262,3.70079,1.279,0.17664,0.08374,0.05195,0.02061,4.07948,21.3453,2.141,0.000616049,0.000616049,0.000616049
47,3018.07,2.26604,3.69893,1.27626,0.2,0.1049,0.06219,0.02426,4.07541,20.4218,2.13421,0.000605051,0.000605051,0.000605051
48,3082.45,2.25992,3.58901,1.26999,0.13732,0.10528,0.06912,0.02786,4.13992,21.0617,2.21112,0.000594052,0.000594052,0.000594052
49,3145.69,2.20723,3.54253,1.24996,0.1654,0.09035,0.06091,0.02197,4.08201,21.1785,2.16816,0.000583053,0.000583053,0.000583053
50,3207.85,2.17029,3.45288,1.24084,0.20906,0.08653,0.05611,0.02244,4.1769,23.9794,2.21237,0.000572054,0.000572054,0.000572054
51,3270.68,2.1494,3.3841,1.2242,0.20661,0.11525,0.08024,0.03383,4.11391,22.9075,2.13932,0.000561055,0.000561055,0.000561055
52,3336.13,2.11658,3.28495,1.21155,0.17211,0.10527,0.06919,0.02698,4.19874,20.9352,2.2339,0.000550056,0.000550056,0.000550056
53,3398.63,2.1033,3.25821,1.21117,0.19592,0.12342,0.07948,0.03067,4.20945,20.5212,2.19491,0.000539057,0.000539057,0.000539057
54,3460.8,2.078,3.18705,1.19666,0.21227,0.10847,0.07585,0.03119,4.23177,22.089,2.23396,0.000528058,0.000528058,0.000528058
55,3523.96,2.04766,3.08806,1.18772,0.18863,0.12003,0.07849,0.03052,4.14941,22.603,2.21866,0.000517059,0.000517059,0.000517059
56,3591.37,2.02804,3.03532,1.18033,0.18298,0.08989,0.06596,0.02643,4.30099,24.3892,2.14607,0.00050606,0.00050606,0.00050606
57,3655.1,2.00875,3.03592,1.16912,0.16515,0.0747,0.05659,0.02261,4.24083,23.4398,2.23969,0.000495062,0.000495062,0.000495062
58,3716.87,1.97622,2.95343,1.15694,0.16225,0.12354,0.06123,0.02412,4.23332,23.8583,2.1687,0.000484063,0.000484063,0.000484063
59,3779.05,1.96572,2.91985,1.15736,0.17005,0.10737,0.06783,0.02688,4.24862,22.7805,2.2089,0.000473064,0.000473064,0.000473064
60,3841.81,1.93907,2.9277,1.15076,0.17044,0.08846,0.05758,0.02189,4.33608,23.3512,2.26484,0.000462065,0.000462065,0.000462065
61,3905,1.9211,2.85329,1.14454,0.18254,0.08034,0.06781,0.02608,4.26819,24.254,2.25174,0.000451066,0.000451066,0.000451066
62,3968.07,1.88382,2.78185,1.1343,0.19909,0.09074,0.06676,0.02856,4.27294,23.6554,2.25088,0.000440067,0.000440067,0.000440067
63,4031.15,1.87338,2.76594,1.13116,0.20637,0.06403,0.0586,0.02251,4.39641,23.4992,2.23711,0.000429068,0.000429068,0.000429068
64,4099.43,1.8366,2.70706,1.11462,0.18513,0.08925,0.06823,0.02774,4.26846,23.1823,2.25237,0.000418069,0.000418069,0.000418069
65,4162.56,1.83975,2.6916,1.11416,0.18381,0.08307,0.05808,0.02309,4.43513,25.1178,2.27962,0.00040707,0.00040707,0.00040707
66,4225.6,1.82968,2.62867,1.10903,0.17693,0.07731,0.07218,0.03005,4.3399,24.8992,2.2264,0.000396071,0.000396071,0.000396071
67,4289.04,1.78574,2.56825,1.09997,0.19132,0.08184,0.06353,0.02566,4.37317,24.4114,2.2274,0.000385073,0.000385073,0.000385073
68,4352.87,1.76782,2.57117,1.08988,0.19247,0.0772,0.07114,0.03009,4.3126,24.0277,2.29471,0.000374074,0.000374074,0.000374074
69,4418.05,1.7744,2.55705,1.09004,0.19462,0.05766,0.06129,0.02548,4.36695,24.819,2.26559,0.000363075,0.000363075,0.000363075
70,4481.23,1.71562,2.46728,1.07417,0.13354,0.05376,0.05372,0.02211,4.53693,26.0235,2.35409,0.000352076,0.000352076,0.000352076
71,4545.49,1.70987,2.43997,1.07075,0.07899,0.17542,0.06667,0.02838,4.46837,25.4013,2.36167,0.000341077,0.000341077,0.000341077
72,4608.56,1.6839,2.41131,1.0644,0.17835,0.0668,0.05241,0.02135,4.48833,25.4874,2.30201,0.000330078,0.000330078,0.000330078
73,4670.97,1.67932,2.40067,1.06196,0.20852,0.06491,0.06877,0.02794,4.51781,25.9711,2.34267,0.000319079,0.000319079,0.000319079
74,4733.2,1.66009,2.36182,1.0524,0.2063,0.06566,0.0694,0.02808,4.44396,25.7907,2.3146,0.00030808,0.00030808,0.00030808
75,4795.4,1.63279,2.3375,1.04242,0.21395,0.08541,0.07518,0.02917,4.4753,25.5004,2.33837,0.000297081,0.000297081,0.000297081
76,4858.8,1.62759,2.32192,1.04902,0.23034,0.08835,0.08899,0.03524,4.43344,25.1048,2.30785,0.000286083,0.000286083,0.000286083
77,4921.64,1.60456,2.28262,1.03725,0.18054,0.07613,0.06675,0.02704,4.49163,25.6696,2.30239,0.000275084,0.000275084,0.000275084
78,4985.84,1.57545,2.24617,1.02933,0.18765,0.07568,0.07558,0.02988,4.50683,25.8698,2.30126,0.000264085,0.000264085,0.000264085
79,5048.63,1.56753,2.23613,1.03102,0.20395,0.06878,0.07023,0.02875,4.48115,25.8481,2.29159,0.000253086,0.000253086,0.000253086
80,5110.86,1.55107,2.20359,1.02436,0.20007,0.05934,0.06996,0.02813,4.50686,25.7306,2.24735,0.000242087,0.000242087,0.000242087
81,5173.92,1.51517,2.15328,1.01777,0.19257,0.0733,0.07401,0.03029,4.53555,25.8952,2.29256,0.000231088,0.000231088,0.000231088
82,5237.09,1.51096,2.14591,1.01426,0.13388,0.11504,0.07325,0.03083,4.57482,25.9671,2.28567,0.000220089,0.000220089,0.000220089
83,5304.77,1.49516,2.13359,1.01161,0.21003,0.06239,0.06591,0.02788,4.63366,26.2596,2.33553,0.00020909,0.00020909,0.00020909
84,5369.01,1.49492,2.11771,1.00831,0.10264,0.1451,0.07961,0.03192,4.61474,26.2895,2.35552,0.000198091,0.000198091,0.000198091
