epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.5748,4.32364,16.8023,2.11942,0.01891,0.47592,0.0246,0.00811,3.90618,15.317,2.20512,0.000368299,0.000368299,0.000368299
2,176.219,3.93357,13.4979,1.92621,0.25124,0.15098,0.03093,0.00942,4.10949,14.3785,2.20663,0.000731319,0.000731319,0.000731319
3,263.101,3.92088,13.1766,1.88476,0.08029,0.14507,0.04667,0.01575,3.81271,12.2076,1.94641,0.00108701,0.00108701,0.00108701
4,341.788,3.88704,12.7763,1.86922,0.15479,0.14745,0.05812,0.02057,3.98466,14.2276,2.03034,0.001078,0.001078,0.001078
5,417.203,3.77623,12.1112,1.82693,0.09261,0.08629,0.05638,0.01938,3.75728,14.2024,2.02223,0.001067,0.001067,0.001067
6,493.45,3.7118,11.8525,1.80693,0.07805,0.26501,0.04174,0.01382,3.74721,13.5971,1.99394,0.00105601,0.00105601,0.00105601
7,571.561,3.6604,11.4333,1.77995,0.14177,0.19918,0.05947,0.02039,3.73642,13.3965,1.91856,0.00104501,0.00104501,0.00104501
8,647.393,3.66167,11.3017,1.74877,0.12934,0.21131,0.06262,0.01938,3.80541,12.8322,1.96593,0.00103401,0.00103401,0.00103401
9,724.564,3.60894,10.9314,1.73743,0.13267,0.11892,0.05767,0.02114,3.65332,14.1113,1.95566,0.00102301,0.00102301,0.00102301
10,800.899,3.56971,10.794,1.73584,0.06392,0.16426,0.03909,0.01365,3.75133,17.8248,2.02277,0.00101201,0.00101201,0.00101201
11,875.142,3.52335,10.4765,1.7126,0.16297,0.247,0.08489,0.0297,3.54503,12.5715,1.86177,0.00100101,0.00100101,0.00100101
12,950.914,3.49692,10.2373,1.69061,0.18377,0.1554,0.08483,0.03028,3.63954,13.1922,2.01276,0.000990012,0.000990012,0.000990012
13,1026.9,3.46996,10.0356,1.66402,0.19615,0.203,0.08473,0.0298,3.63399,13.039,1.90197,0.000979013,0.000979013,0.000979013
14,1101,3.46694,9.81032,1.68092,0.19959,0.15814,0.08656,0.02837,3.76109,13.6149,2.06917,0.000968014,0.000968014,0.000968014
15,1176.4,3.39707,9.60554,1.6598,0.16014,0.16434,0.08173,0.03049,3.66666,13.1846,1.88835,0.000957015,0.000957015,0.000957015
16,1252.27,3.41502,9.47818,1.65616,0.22368,0.19023,0.0884,0.03321,3.56654,13.9036,1.85849,0.000946016,0.000946016,0.000946016
17,1328,3.34769,9.27387,1.64429,0.18988,0.20337,0.09377,0.03541,3.65711,12.9759,1.95933,0.000935018,0.000935018,0.000935018
18,1404.06,3.33886,8.89851,1.62485,0.19299,0.15971,0.07018,0.02598,3.77558,14.6022,1.87489,0.000924019,0.000924019,0.000924019
19,1485.17,3.31669,8.7386,1.63296,0.18165,0.21538,0.09385,0.03435,3.83631,11.4806,2.05807,0.00091302,0.00091302,0.00091302
20,1560.2,3.29173,8.65184,1.62071,0.17754,0.20948,0.09737,0.03874,3.63878,13.5421,1.90933,0.000902021,0.000902021,0.000902021
21,1635.35,3.23191,8.36112,1.58883,0.19171,0.13929,0.0821,0.03069,3.76099,14.7652,1.98643,0.000891022,0.000891022,0.000891022
22,1710.7,3.19873,8.25753,1.5954,0.22628,0.15973,0.09696,0.03786,3.6784,15.8419,1.9509,0.000880023,0.000880023,0.000880023
23,1785.45,3.19321,8.11782,1.58622,0.16801,0.19506,0.08658,0.03358,3.69954,13.0026,2.01122,0.000869024,0.000869024,0.000869024
24,1860.29,3.18438,8.00376,1.58243,0.29147,0.12954,0.08615,0.03662,3.63307,16.1865,1.92709,0.000858025,0.000858025,0.000858025
25,1935.01,3.11853,7.51172,1.53845,0.1989,0.13783,0.06495,0.02661,3.69749,16.1484,1.99811,0.000847026,0.000847026,0.000847026
26,2010.24,3.13061,7.56096,1.5501,0.17001,0.18267,0.08589,0.03403,3.67045,14.0094,1.96463,0.000836027,0.000836027,0.000836027
27,2089.5,3.07393,7.33646,1.54585,0.16479,0.14047,0.07685,0.03022,3.7643,15.9099,1.97756,0.000825029,0.000825029,0.000825029
28,2165.15,3.07111,7.19891,1.53807,0.16274,0.16489,0.06787,0.02701,3.7502,16.0914,1.98374,0.00081403,0.00081403,0.00081403
29,2239.47,3.03219,6.88882,1.51042,0.14663,0.14761,0.06501,0.02554,3.73348,16.1057,2.01309,0.000803031,0.000803031,0.000803031
30,2314.51,3.00065,6.75912,1.49994,0.15578,0.185,0.08443,0.03451,3.67531,16.3395,2.00203,0.000792032,0.000792032,0.000792032
31,2389.8,2.98793,6.66098,1.49881,0.15897,0.18627,0.07691,0.02765,3.75537,14.9141,1.92767,0.000781033,0.000781033,0.000781033
32,2465.25,2.95535,6.48015,1.47524,0.15483,0.14856,0.07053,0.02468,3.85403,16.1257,1.98914,0.000770034,0.000770034,0.000770034
33,2540.22,2.92777,6.2991,1.46682,0.14711,0.15874,0.07082,0.02612,3.77064,15.3166,1.96593,0.000759035,0.000759035,0.000759035
34,2616.14,2.90994,6.22553,1.46576,0.17353,0.18815,0.09093,0.0362,3.83164,14.8814,1.94215,0.000748036,0.000748036,0.000748036
35,2707.6,2.84171,5.95927,1.43131,0.22743,0.10699,0.06968,0.02626,3.83806,17.3113,1.97658,0.000737037,0.000737037,0.000737037
36,2803.52,2.876,5.97599,1.45335,0.14584,0.1017,0.06285,0.02393,3.74643,16.713,2.04692,0.000726038,0.000726038,0.000726038
37,2878.9,2.80183,5.74495,1.42767,0.13415,0.15446,0.06482,0.02326,3.84492,15.4316,1.96394,0.00071504,0.00071504,0.00071504
38,2953.94,2.80595,5.65919,1.41502,0.16084,0.14607,0.06652,0.02587,3.82925,17.4074,2.04396,0.000704041,0.000704041,0.000704041
39,3029.13,2.7739,5.62708,1.41411,0.16894,0.10403,0.05683,0.02338,3.77981,18.9382,1.96277,0.000693042,0.000693042,0.000693042
40,3103.31,2.75844,5.57911,1.41025,0.1692,0.1433,0.0629,0.0244,3.82785,18.0934,2.01242,0.000682043,0.000682043,0.000682043
41,3178.53,2.74468,5.36239,1.40282,0.18996,0.12771,0.07205,0.02581,3.90524,17.6805,2.02045,0.000671044,0.000671044,0.000671044
42,3253.54,2.68847,5.20468,1.37579,0.16476,0.14081,0.08094,0.03451,3.8415,20.7415,2.07484,0.000660045,0.000660045,0.000660045
43,3328.69,2.66232,5.06159,1.36638,0.18362,0.13305,0.07014,0.02766,3.94934,17.9419,1.99713,0.000649046,0.000649046,0.000649046
44,3404.2,2.62856,5.02195,1.34887,0.21767,0.14448,0.0782,0.03065,3.92443,19.5422,2.07624,0.000638047,0.000638047,0.000638047
45,3479.63,2.59134,4.85224,1.33419,0.18762,0.10738,0.0693,0.0282,3.96858,19.3265,2.06976,0.000627048,0.000627048,0.000627048
46,3553.78,2.57806,4.77984,1.32964,0.17838,0.10113,0.06076,0.02229,3.98146,18.4798,2.01557,0.000616049,0.000616049,0.000616049
47,3628.89,2.54818,4.7379,1.3259,0.18027,0.12546,0.07074,0.02746,3.96956,19.1077,2.06422,0.000605051,0.000605051,0.000605051
48,3703.94,2.5338,4.67176,1.31688,0.17543,0.12919,0.06622,0.02573,3.94873,18.3974,2.09199,0.000594052,0.000594052,0.000594052
49,3778.87,2.51412,4.62469,1.30754,0.21453,0.07204,0.05667,0.02242,3.97726,20.1673,2.06105,0.000583053,0.000583053,0.000583053
50,3859.37,2.47061,4.50499,1.29259,0.16839,0.1738,0.08149,0.03345,3.98081,17.9819,2.0824,0.000572054,0.000572054,0.000572054
51,3935.41,2.44685,4.42235,1.28122,0.17512,0.14607,0.07379,0.02846,3.94438,20.207,2.03674,0.000561055,0.000561055,0.000561055
52,4010.38,2.47544,4.46614,1.2914,0.20808,0.10607,0.07393,0.02862,3.97954,19.2265,2.01461,0.000550056,0.000550056,0.000550056
53,4085.57,2.44487,4.386,1.28873,0.17151,0.1409,0.07311,0.02753,4.13091,17.5828,2.09501,0.000539057,0.000539057,0.000539057
54,4160.45,2.40461,4.26044,1.26476,0.2074,0.09696,0.05586,0.02049,4.07232,21.0595,2.03835,0.000528058,0.000528058,0.000528058
55,4235.52,2.386,4.18028,1.25937,0.21334,0.09035,0.06981,0.02783,4.04799,19.9733,2.05251,0.000517059,0.000517059,0.000517059
56,4309.6,2.34333,4.07464,1.24257,0.15335,0.11357,0.06538,0.02514,4.05601,22.7788,2.09663,0.00050606,0.00050606,0.00050606
57,4384.63,2.32374,3.98051,1.23624,0.1605,0.13111,0.07008,0.02717,4.03808,18.9115,2.05341,0.000495062,0.000495062,0.000495062
58,4459.11,2.2865,3.92917,1.23066,0.23881,0.11652,0.07375,0.02732,4.05188,20.6075,2.08169,0.000484063,0.000484063,0.000484063
59,4534.2,2.29853,3.949,1.23117,0.1668,0.10545,0.0579,0.02231,4.07355,21.0274,2.0196,0.000473064,0.000473064,0.000473064
60,4609.38,2.2801,3.88033,1.21981,0.1895,0.09801,0.06227,0.02417,4.03429,22.4612,2.06789,0.000462065,0.000462065,0.000462065
61,4684.23,2.23038,3.78773,1.19828,0.15249,0.10534,0.0587,0.02145,4.0835,21.3841,2.0637,0.000451066,0.000451066,0.000451066
62,4758.6,2.23255,3.77245,1.20263,0.20441,0.11857,0.07828,0.03146,4.0666,20.9038,2.04546,0.000440067,0.000440067,0.000440067
63,4833.38,2.21966,3.72954,1.19804,0.16353,0.10913,0.06206,0.02309,4.14017,21.2955,2.06383,0.000429068,0.000429068,0.000429068
64,4908.21,2.19072,3.68059,1.18557,0.19987,0.13313,0.08106,0.0331,4.15023,20.7717,2.13903,0.000418069,0.000418069,0.000418069
65,4983.25,2.17194,3.61682,1.1821,0.17317,0.11799,0.06455,0.02417,4.13044,21.5361,2.07409,0.00040707,0.00040707,0.00040707
66,5062.79,2.13884,3.56198,1.16715,0.1464,0.09751,0.05123,0.02111,4.12668,24.1732,2.118,0.000396071,0.000396071,0.000396071
67,5140.37,2.15396,3.64807,1.17911,0.19813,0.11139,0.07809,0.03028,4.13583,22.3869,2.10635,0.000385073,0.000385073,0.000385073
68,5215.1,2.11242,3.50377,1.15756,0.15486,0.10134,0.05902,0.02402,4.1428,21.0426,2.07472,0.000374074,0.000374074,0.000374074
69,5289.3,2.09664,3.44369,1.15791,0.14741,0.10839,0.05535,0.02052,4.18821,21.8568,2.08749,0.000363075,0.000363075,0.000363075
70,5364.08,2.0899,3.44257,1.15243,0.14752,0.10736,0.05641,0.02081,4.16237,22.0095,2.07306,0.000352076,0.000352076,0.000352076
71,5438.87,2.06802,3.40436,1.14652,0.15775,0.076,0.05365,0.02158,4.19294,23.0311,2.02723,0.000341077,0.000341077,0.000341077
72,5514.01,2.06469,3.35369,1.14705,0.17737,0.08334,0.06335,0.02755,4.11226,23.1364,2.09357,0.000330078,0.000330078,0.000330078
73,5588.36,2.02567,3.26585,1.13063,0.16987,0.1045,0.06827,0.02751,4.17039,22.4067,2.11957,0.000319079,0.000319079,0.000319079
74,5663.24,2.01418,3.2787,1.13383,0.21316,0.10828,0.06739,0.02603,4.17799,22.7519,2.12545,0.00030808,0.00030808,0.00030808
75,5738,1.98644,3.19145,1.12684,0.20654,0.0856,0.0649,0.02689,4.21745,22.5601,2.12599,0.000297081,0.000297081,0.000297081
76,5812.45,1.99267,3.22088,1.12618,0.17583,0.08664,0.05797,0.0223,4.24346,24.6537,2.09809,0.000286083,0.000286083,0.000286083
77,5886.57,1.96296,3.17669,1.11784,0.17371,0.09786,0.06294,0.02548,4.24189,23.1552,2.10666,0.000275084,0.000275084,0.000275084
78,5961.44,1.95903,3.13841,1.12097,0.15863,0.09166,0.05666,0.02091,4.22074,24.0023,2.05419,0.000264085,0.000264085,0.000264085
79,6035.43,1.93124,3.11102,1.10921,0.16473,0.07642,0.05378,0.01961,4.25207,23.4924,2.09675,0.000253086,0.000253086,0.000253086
80,6110.2,1.9125,3.0793,1.09668,0.17138,0.08935,0.05875,0.02324,4.26394,25.1557,2.13244,0.000242087,0.000242087,0.000242087
81,6185.53,1.91085,3.08036,1.10267,0.1713,0.07864,0.06024,0.02409,4.24982,24.911,2.09443,0.000231088,0.000231088,0.000231088
