epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.348,4.24836,6.48984,8.62995,2.0766,0.29374,0.24715,0.1982,0.06183,0.21975,0.17126,0.11309,0.02872,4.27842,8.58417,8.58576,2.2196,0.000660969,0.000660969,0.000660969
2,428.051,4.0295,6.16783,7.62575,1.86863,0.33461,0.23855,0.20826,0.06569,0.31991,0.19268,0.16328,0.04634,4.47049,7.13763,7.86068,2.27409,0.00132755,0.00132755,0.00132755
3,643.618,4.02037,6.13273,7.50407,1.84166,0.37902,0.28515,0.25339,0.08276,0.35819,0.23709,0.20816,0.06196,4.16321,7.02719,9.69544,2.05205,0.00199381,0.00199381,0.00199381
4,858.014,3.94121,6.07022,7.28415,1.81337,0.37002,0.26352,0.24543,0.08242,0.34567,0.20614,0.1878,0.05813,4.1984,6.93198,7.78242,2.10774,0.0019989,0.0019989,0.0019989
5,1068.65,3.9013,6.00314,7.07528,1.78458,0.38857,0.27935,0.26863,0.09598,0.36142,0.22836,0.21181,0.06462,3.96339,6.61957,7.3829,2.0257,0.00199805,0.00199805,0.00199805
6,1268.37,3.85989,5.9264,6.99343,1.75466,0.42908,0.31682,0.30621,0.10819,0.38135,0.25735,0.23455,0.07544,3.92934,6.57029,7.23889,1.98462,0.00199695,0.00199695,0.00199695
7,1474.15,3.83086,5.87809,6.95672,1.75005,0.40198,0.29881,0.28628,0.09928,0.40612,0.26688,0.25812,0.08449,3.9543,6.48229,7.40628,2.00229,0.00199561,0.00199561,0.00199561
8,1679.82,3.79535,5.83411,6.85428,1.74072,0.39927,0.28217,0.27719,0.10128,0.33756,0.22315,0.19907,0.06421,3.84726,6.4493,7.47985,1.97766,0.00199402,0.00199402,0.00199402
9,1900.17,3.75274,5.76547,6.72613,1.706,0.41257,0.29029,0.2874,0.10336,0.39982,0.24218,0.23627,0.077,3.9283,6.49615,7.37499,1.92268,0.00199219,0.00199219,0.00199219
10,2119.49,3.73376,5.73975,6.69218,1.70765,0.43668,0.31894,0.31346,0.10584,0.42563,0.26202,0.25689,0.07565,3.92752,6.50423,7.15573,1.93082,0.00199012,0.00199012,0.00199012
11,2327.62,3.73454,5.74641,6.65314,1.70711,0.39409,0.26953,0.2645,0.09284,0.3779,0.21525,0.20781,0.06867,4.03481,6.50106,7.48439,2.02306,0.00198781,0.00198781,0.00198781
12,2531.76,3.72724,5.71804,6.61849,1.70157,0.45787,0.32787,0.32706,0.11858,0.42612,0.27718,0.26437,0.0885,3.85012,6.28875,6.9701,1.88572,0.00198526,0.00198526,0.00198526
13,2746.09,3.69537,5.67972,6.57164,1.67322,0.44331,0.31555,0.3073,0.1086,0.41426,0.24864,0.24065,0.07719,4.02062,6.52306,7.17986,1.95628,0.00198246,0.00198246,0.00198246
14,2956.75,3.6834,5.6437,6.52714,1.67087,0.48347,0.34606,0.35374,0.13581,0.46844,0.2964,0.29989,0.10553,3.68562,6.08554,6.75832,1.85999,0.00197943,0.00197943,0.00197943
15,3178.47,3.66788,5.63298,6.50318,1.66936,0.44173,0.33409,0.32578,0.12239,0.41581,0.29263,0.2808,0.09855,3.77647,6.13642,6.92643,1.88088,0.00197616,0.00197616,0.00197616
16,3399.11,3.6689,5.62117,6.49543,1.67157,0.45989,0.32102,0.32417,0.12136,0.42151,0.27843,0.27242,0.09344,3.81667,6.16611,6.95334,1.88684,0.00197265,0.00197265,0.00197265
17,3603.41,3.66975,5.61941,6.49583,1.66671,0.49125,0.34603,0.35396,0.1352,0.46648,0.29613,0.29591,0.10235,3.74625,6.07874,6.70671,1.90004,0.0019689,0.0019689,0.0019689
18,3800.98,3.64326,5.59246,6.38291,1.65161,0.45064,0.32667,0.31819,0.11146,0.42774,0.28758,0.27568,0.08961,4.02368,6.24088,6.99736,1.92921,0.00196491,0.00196491,0.00196491
19,4017.77,3.62489,5.55456,6.3748,1.64685,0.48387,0.34885,0.35663,0.13526,0.45575,0.29171,0.29321,0.09995,3.72556,6.1287,6.75051,1.86826,0.00196069,0.00196069,0.00196069
20,4237.22,3.60989,5.53791,6.32895,1.6431,0.4727,0.35798,0.35678,0.13324,0.44833,0.32087,0.31215,0.10665,3.76149,6.04383,6.64343,1.87534,0.00195624,0.00195624,0.00195624
21,4456.83,3.62192,5.5469,6.34387,1.6501,0.49223,0.35048,0.35447,0.13091,0.45887,0.28944,0.28678,0.0958,3.81633,6.24768,6.71235,1.88962,0.00195155,0.00195155,0.00195155
22,4675.08,3.587,5.51299,6.29578,1.64914,0.49028,0.3394,0.35932,0.1409,0.47987,0.29618,0.31057,0.1115,3.64052,6.03917,6.68569,1.84855,0.00194662,0.00194662,0.00194662
23,4895.9,3.59642,5.51417,6.24811,1.63651,0.44288,0.30872,0.30665,0.10689,0.40926,0.23899,0.23304,0.0724,3.97229,6.43415,7.17346,1.97703,0.00194147,0.00194147,0.00194147
24,5114.92,3.56775,5.45793,6.22844,1.62716,0.484,0.36275,0.36412,0.14104,0.44934,0.30903,0.30208,0.10471,3.65245,6.02262,6.66696,1.85851,0.00193609,0.00193609,0.00193609
25,5336.62,3.57061,5.48299,6.19778,1.62749,0.50314,0.36426,0.3738,0.14264,0.47767,0.32038,0.32101,0.11243,3.68721,5.97807,6.61927,1.85663,0.00193048,0.00193048,0.00193048
26,5557.73,3.55524,5.45101,6.18916,1.624,0.4966,0.38941,0.39007,0.1472,0.48749,0.34632,0.34544,0.12013,3.70057,6.0508,6.64311,1.81027,0.00192464,0.00192464,0.00192464
27,5784.13,3.56685,5.46992,6.23855,1.62389,0.48034,0.34857,0.35217,0.12955,0.45724,0.29821,0.29442,0.09832,3.74921,6.09599,6.77822,1.88143,0.00191858,0.00191858,0.00191858
28,6003.37,3.54559,5.44919,6.18812,1.62538,0.46833,0.3303,0.34197,0.13099,0.45372,0.27747,0.28442,0.09906,3.71508,6.15299,6.77733,1.85687,0.00191229,0.00191229,0.00191229
29,6224.04,3.53778,5.42289,6.1449,1.61703,0.50917,0.37009,0.37833,0.13977,0.49093,0.32485,0.32553,0.10835,3.77858,6.0869,6.54743,1.83438,0.00190578,0.00190578,0.00190578
30,6448.05,3.53252,5.42282,6.12472,1.6069,0.45633,0.32419,0.33019,0.12327,0.44618,0.29771,0.30152,0.10555,3.80618,6.06975,6.86259,1.84359,0.00189905,0.00189905,0.00189905
31,6658.35,3.55296,5.45306,6.1848,1.62329,0.50876,0.39449,0.3978,0.15124,0.48907,0.35151,0.34947,0.12035,3.65995,5.90213,6.4485,1.80929,0.0018921,0.0018921,0.0018921
32,6862.39,3.52384,5.40031,6.12115,1.61706,0.51345,0.3626,0.37344,0.134,0.49551,0.31813,0.32523,0.10582,3.78518,6.1155,6.64684,1.8141,0.00188493,0.00188493,0.00188493
33,7085.84,3.51192,5.38553,6.06201,1.59636,0.50835,0.39779,0.40028,0.15561,0.49658,0.35757,0.35721,0.12783,3.61006,5.89782,6.37448,1.78996,0.00187754,0.00187754,0.00187754
34,7309.62,3.49954,5.36445,6.04761,1.59985,0.50501,0.35367,0.36994,0.13788,0.48966,0.31266,0.32128,0.10973,3.74775,6.06375,6.55725,1.81519,0.00186995,0.00186995,0.00186995
35,7528.36,3.52208,5.38188,6.08968,1.60347,0.50434,0.39256,0.39609,0.15204,0.49048,0.34595,0.34958,0.12273,3.6599,5.96755,6.41016,1.83257,0.00186213,0.00186213,0.00186213
36,7744.41,3.49404,5.38047,6.0681,1.59787,0.4745,0.36017,0.36041,0.13438,0.45971,0.32393,0.32234,0.11261,3.72614,5.92795,6.58927,1.87558,0.00185411,0.00185411,0.00185411
37,7963.04,3.49201,5.34749,6.02636,1.58834,0.51766,0.36463,0.37811,0.13703,0.48778,0.30942,0.31195,0.1027,3.8037,6.1149,6.55381,1.85817,0.00184588,0.00184588,0.00184588
38,8182.36,3.48107,5.37357,6.01324,1.59735,0.51127,0.37451,0.39023,0.14987,0.50264,0.33673,0.34947,0.1223,3.6635,5.98717,6.43009,1.77855,0.00183745,0.00183745,0.00183745
39,8399.22,3.44992,5.32558,5.92543,1.57774,0.53157,0.4006,0.41031,0.1565,0.51593,0.36146,0.36629,0.1268,3.62425,5.88187,6.30737,1.79138,0.00182881,0.00182881,0.00182881
40,8618.2,3.4731,5.33265,5.98766,1.59249,0.49425,0.33811,0.35396,0.13119,0.46305,0.28281,0.28695,0.09609,3.78496,6.13509,6.69212,1.88725,0.00181997,0.00181997,0.00181997
41,8824.47,3.46363,5.32098,5.95386,1.58389,0.52932,0.39742,0.40599,0.15482,0.50422,0.35186,0.35289,0.1231,3.64159,5.87177,6.37236,1.80088,0.00181093,0.00181093,0.00181093
42,9035.72,3.46359,5.33056,5.89716,1.57016,0.52553,0.38313,0.39824,0.14846,0.49954,0.3449,0.34987,0.11875,3.69959,5.95541,6.38414,1.79846,0.00180169,0.00180169,0.00180169
43,9248.7,3.46294,5.31044,5.90602,1.57786,0.53515,0.40878,0.42556,0.16688,0.52261,0.37055,0.38292,0.13764,3.54192,5.74968,6.17471,1.75878,0.00179225,0.00179225,0.00179225
