epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,344.209,4.30581,6.42037,8.31964,1.98793,0.2671,0.24966,0.14896,0.04301,0.24182,0.19825,0.11112,0.02922,4.50263,7.06325,9.07379,2.1641,0.00066092,0.00066092,0.00066092
2,665.915,4.05602,6.12606,7.36544,1.79676,0.30229,0.23971,0.18756,0.05747,0.29196,0.18965,0.14771,0.04071,4.45082,7.82268,10.6867,2.0727,0.00131444,0.00131444,0.00131444
3,1005.25,4.01757,6.08637,7.22963,1.77583,0.25543,0.28188,0.18999,0.0551,0.26812,0.23962,0.16964,0.04553,4.2465,7.03279,8.70039,2.04929,0.00195477,0.00195477,0.00195477
4,1324.96,3.9792,6.0474,7.13011,1.7572,0.33183,0.23422,0.20841,0.06637,0.32146,0.19035,0.16798,0.04921,4.44249,7.15206,10.0136,2.01708,0.0019406,0.0019406,0.0019406
5,1630.02,3.88807,5.956,6.98323,1.72475,0.30845,0.24623,0.21007,0.06855,0.31532,0.2218,0.19183,0.05754,4.15933,6.76488,8.15027,2.022,0.0019208,0.0019208,0.0019208
6,1953.34,3.86069,5.90031,6.88369,1.69848,0.43076,0.32407,0.3088,0.1078,0.40477,0.27184,0.24972,0.08053,3.93839,6.59645,7.45213,1.94488,0.001901,0.001901,0.001901
7,2273.85,3.83146,5.84122,6.78727,1.68656,0.35783,0.30182,0.26858,0.08795,0.3444,0.25293,0.2252,0.06639,4.03308,6.68475,7.88258,1.96486,0.0018812,0.0018812,0.0018812
8,2583.83,3.81136,5.80808,6.79868,1.68319,0.40488,0.30671,0.28831,0.10194,0.40885,0.26432,0.25199,0.08318,3.9091,6.36733,7.50333,1.97559,0.0018614,0.0018614,0.0018614
9,2889.08,3.76279,5.74749,6.64649,1.66189,0.40473,0.33551,0.30515,0.09537,0.36117,0.27491,0.24071,0.06894,4.04078,6.56001,7.48535,1.97147,0.0018416,0.0018416,0.0018416
10,3196.47,3.75402,5.73493,6.61543,1.65273,0.40595,0.30021,0.29024,0.09867,0.40476,0.25523,0.2465,0.07868,4.09309,6.58413,7.3951,1.94438,0.0018218,0.0018218,0.0018218
11,3512.62,3.74151,5.72029,6.55131,1.64239,0.42799,0.30624,0.3095,0.11103,0.41589,0.27007,0.26702,0.08706,3.84665,6.34793,7.26474,1.85715,0.001802,0.001802,0.001802
12,3798.27,3.69094,5.68194,6.49946,1.63676,0.4131,0.29475,0.2972,0.10779,0.41283,0.25318,0.25415,0.08369,3.84611,6.33149,7.3896,1.97056,0.0017822,0.0017822,0.0017822
13,4097.24,3.72463,5.69508,6.5398,1.64421,0.43992,0.385,0.35448,0.12828,0.43055,0.33799,0.31299,0.10359,3.76167,6.1423,6.98927,1.88409,0.0017624,0.0017624,0.0017624
14,4421.19,3.70441,5.66115,6.52964,1.63035,0.41751,0.28273,0.27098,0.08895,0.39342,0.23819,0.22204,0.06842,4.18966,6.81878,8.04484,1.90699,0.0017426,0.0017426,0.0017426
15,4742.47,3.66505,5.61572,6.47514,1.62706,0.48657,0.38727,0.38368,0.14223,0.46875,0.34451,0.33775,0.11489,3.6762,6.03926,6.74515,1.83292,0.0017228,0.0017228,0.0017228
16,5041.85,3.66244,5.60498,6.40867,1.61424,0.44206,0.34246,0.33944,0.12395,0.4402,0.30541,0.3014,0.10131,3.76043,6.24491,7.08329,1.84301,0.001703,0.001703,0.001703
17,5354.31,3.6638,5.60345,6.36064,1.61901,0.41508,0.28013,0.28827,0.10053,0.40177,0.23137,0.23404,0.07443,3.98052,6.43671,7.47442,1.93339,0.0016832,0.0016832,0.0016832
18,5673.33,3.65538,5.59251,6.33423,1.61106,0.49015,0.37429,0.36485,0.13667,0.45578,0.31498,0.29668,0.09717,3.67452,6.09632,7.15103,1.83965,0.0016634,0.0016634,0.0016634
19,6003.82,3.64971,5.59068,6.33435,1.60566,0.48463,0.36294,0.35792,0.13222,0.44403,0.31608,0.29984,0.10051,3.75842,6.10116,6.87409,1.88639,0.0016436,0.0016436,0.0016436
20,6334.89,3.63592,5.56558,6.30417,1.5976,0.46651,0.38348,0.3665,0.12995,0.44378,0.33317,0.31394,0.10296,3.85313,6.21016,6.91512,1.83134,0.0016238,0.0016238,0.0016238
21,6639.47,3.62148,5.5466,6.31937,1.60321,0.50489,0.39284,0.39514,0.14748,0.47844,0.34736,0.3442,0.11571,3.66796,6.01204,6.61627,1.81106,0.001604,0.001604,0.001604
22,6956.94,3.62153,5.53933,6.26107,1.59227,0.4586,0.36642,0.35647,0.12889,0.4553,0.33237,0.32618,0.10902,3.79072,6.2426,7.11568,1.80348,0.0015842,0.0015842,0.0015842
23,7248.56,3.6204,5.527,6.27006,1.59704,0.46841,0.37796,0.36879,0.13027,0.45611,0.33432,0.32398,0.1056,3.73993,6.13293,7.03206,1.83938,0.0015644,0.0015644,0.0015644
24,7571.21,3.59223,5.51183,6.1746,1.58693,0.47961,0.39345,0.38129,0.13685,0.4734,0.36392,0.35263,0.11846,3.75851,6.02755,6.77116,1.7987,0.0015446,0.0015446,0.0015446
25,7882.2,3.57981,5.49425,6.17091,1.57926,0.49931,0.39345,0.39598,0.14678,0.48547,0.3504,0.34945,0.11781,3.67679,5.9531,6.65847,1.82377,0.0015248,0.0015248,0.0015248
26,8198.95,3.61102,5.5181,6.23213,1.59012,0.50453,0.41663,0.40647,0.1496,0.48847,0.3808,0.3679,0.12577,3.66137,5.94423,6.64068,1.7642,0.001505,0.001505,0.001505
27,8514.08,3.5618,5.44357,6.12172,1.56165,0.47407,0.35095,0.35095,0.12221,0.45904,0.30289,0.29893,0.09473,3.86457,6.21723,6.87783,1.8615,0.0014852,0.0014852,0.0014852
28,8830.72,3.56183,5.46578,6.12114,1.56844,0.48699,0.34263,0.35339,0.13042,0.46173,0.29127,0.29576,0.10047,3.74592,6.1009,7.0176,1.83689,0.0014654,0.0014654,0.0014654
29,9134.9,3.55106,5.43312,6.0893,1.56391,0.46918,0.34563,0.35506,0.13601,0.45574,0.30169,0.31127,0.10938,3.71133,6.04344,6.9575,1.85996,0.0014456,0.0014456,0.0014456
30,9444.18,3.55488,5.46614,6.09749,1.56513,0.45156,0.33874,0.32836,0.11681,0.40854,0.27331,0.2549,0.08257,3.89253,6.38275,7.08858,1.93487,0.0014258,0.0014258,0.0014258
31,9774.8,3.54412,5.42123,6.06646,1.57052,0.47181,0.32662,0.32625,0.11211,0.43894,0.26747,0.26095,0.08261,3.89976,6.29587,7.50846,1.93957,0.001406,0.001406,0.001406
32,10092.8,3.51372,5.39654,6.01938,1.55775,0.49567,0.40424,0.39722,0.14587,0.47948,0.36407,0.35334,0.12061,3.7032,5.99367,6.66469,1.80404,0.0013862,0.0013862,0.0013862
33,10413,3.49972,5.37705,5.95883,1.54097,0.50606,0.37414,0.38034,0.14137,0.48024,0.33267,0.33392,0.11508,3.72977,6.04504,6.73359,1.79233,0.0013664,0.0013664,0.0013664
34,10729.2,3.50634,5.38846,5.99556,1.55289,0.51941,0.40854,0.40852,0.15376,0.49828,0.3605,0.3569,0.12062,3.62734,5.9189,6.55106,1.82668,0.0013466,0.0013466,0.0013466
35,11033.6,3.52385,5.41974,6.00156,1.55646,0.47008,0.37973,0.36475,0.12889,0.44109,0.33664,0.3193,0.10349,3.75215,6.03618,6.83817,1.84604,0.0013268,0.0013268,0.0013268
36,11343.4,3.48842,5.35101,5.94929,1.53953,0.50468,0.39417,0.39425,0.14633,0.46843,0.34543,0.33494,0.11435,3.67431,5.94821,6.63048,1.84406,0.001307,0.001307,0.001307
37,11657.4,3.49241,5.36585,5.94313,1.54902,0.51055,0.40371,0.3986,0.14657,0.47875,0.35445,0.34422,0.11306,3.68249,5.9329,6.53937,1.83184,0.0012872,0.0012872,0.0012872
38,11969.9,3.49947,5.35797,5.93599,1.53712,0.50304,0.39707,0.38994,0.14058,0.4765,0.34261,0.33123,0.10765,3.73493,6.01962,6.69995,1.87583,0.0012674,0.0012674,0.0012674
39,12281.8,3.49662,5.36529,5.9437,1.54983,0.50978,0.40264,0.40363,0.15178,0.49144,0.35453,0.35484,0.12311,3.62228,5.90075,6.56914,1.78702,0.0012476,0.0012476,0.0012476
40,12591.7,3.47761,5.34857,5.97696,1.54961,0.47824,0.36534,0.36112,0.12783,0.44997,0.30679,0.29911,0.09624,3.84003,6.18956,6.86155,1.87419,0.0012278,0.0012278,0.0012278
41,12916.8,3.50692,5.38144,5.96423,1.55504,0.5241,0.43721,0.42709,0.15775,0.50891,0.39778,0.38719,0.13227,3.6555,5.87136,6.42085,1.77427,0.001208,0.001208,0.001208
42,13230.9,3.47009,5.33948,5.88846,1.53601,0.49327,0.40059,0.39322,0.14419,0.47598,0.3607,0.35322,0.11765,3.68609,5.96775,6.67099,1.78693,0.0011882,0.0011882,0.0011882
43,13546.8,3.45046,5.31208,5.85622,1.53027,0.52419,0.42999,0.42678,0.15862,0.50825,0.39317,0.38544,0.13182,3.60771,5.83232,6.48613,1.7739,0.0011684,0.0011684,0.0011684
44,13845.7,3.45126,5.31267,5.81858,1.52602,0.49842,0.37576,0.37041,0.13359,0.46115,0.31098,0.29893,0.10047,3.83317,6.25778,6.70841,1.92238,0.0011486,0.0011486,0.0011486
45,14164.8,3.47723,5.34695,5.88819,1.53491,0.52473,0.42195,0.41975,0.15369,0.49516,0.38305,0.37106,0.12197,3.64791,5.86789,6.43863,1.79896,0.0011288,0.0011288,0.0011288
46,14471.6,3.43176,5.29224,5.86003,1.53046,0.52296,0.43224,0.43292,0.16444,0.50612,0.38951,0.38998,0.13486,3.56874,5.8102,6.35137,1.78748,0.001109,0.001109,0.001109
47,14750.9,3.42915,5.26502,5.8459,1.52904,0.52608,0.40678,0.40769,0.15776,0.5097,0.35743,0.35758,0.12732,3.57327,5.83838,6.49828,1.80567,0.0010892,0.0010892,0.0010892
48,15064.7,3.43975,5.30759,5.78094,1.52093,0.53055,0.42952,0.42935,0.16505,0.51703,0.39045,0.39087,0.13935,3.55996,5.76684,6.39172,1.76786,0.0010694,0.0010694,0.0010694
49,15394.8,3.41507,5.26193,5.74467,1.51213,0.51877,0.38578,0.39021,0.14566,0.49009,0.34053,0.33708,0.11419,3.64492,5.87845,6.74096,1.84594,0.0010496,0.0010496,0.0010496
50,15702.4,3.41405,5.26311,5.76218,1.51755,0.51721,0.41965,0.41439,0.15614,0.49654,0.3722,0.36293,0.12528,3.66248,5.93939,6.4683,1.80875,0.0010298,0.0010298,0.0010298
51,15994.8,3.40579,5.23859,5.75471,1.51671,0.52592,0.4261,0.42141,0.15704,0.50253,0.3852,0.37583,0.12712,3.62497,5.88106,6.37888,1.77573,0.00101,0.00101,0.00101
52,16274.1,3.41437,5.24897,5.74609,1.51809,0.52026,0.43032,0.42566,0.1603,0.50972,0.39477,0.39098,0.13589,3.58392,5.8309,6.4745,1.74698,0.0009902,0.0009902,0.0009902
53,16610,3.39934,5.24035,5.68404,1.50387,0.53765,0.40956,0.41543,0.15782,0.50706,0.37014,0.36687,0.12591,3.60292,5.80508,6.39486,1.80363,0.0009704,0.0009704,0.0009704
54,16932.6,3.38697,5.22738,5.71026,1.50429,0.5098,0.40736,0.40083,0.1419,0.46656,0.35183,0.33425,0.10787,3.78472,6.02441,6.52317,1.87871,0.0009506,0.0009506,0.0009506
55,17259.7,3.39733,5.24577,5.64699,1.50614,0.52007,0.41362,0.40989,0.14781,0.4964,0.36819,0.35913,0.11981,3.75116,6.00491,6.518,1.79823,0.0009308,0.0009308,0.0009308
56,17574.2,3.3784,5.21865,5.6377,1.49386,0.53367,0.44753,0.44111,0.16792,0.51506,0.41278,0.40322,0.14259,3.58246,5.74124,6.24019,1.77386,0.000911,0.000911,0.000911
57,17888,3.38095,5.21059,5.6624,1.50173,0.53486,0.42834,0.4276,0.15877,0.50674,0.38668,0.38013,0.12907,3.62349,5.79376,6.33517,1.77938,0.0008912,0.0008912,0.0008912
58,18213.1,3.37241,5.18046,5.60231,1.48632,0.53658,0.42417,0.42352,0.15709,0.50754,0.38128,0.37407,0.12767,3.63259,5.81213,6.39592,1.79326,0.0008714,0.0008714,0.0008714
59,18539.9,3.38358,5.188,5.60612,1.49455,0.52664,0.41256,0.41397,0.15266,0.50431,0.36697,0.36398,0.12195,3.65235,5.87953,6.43756,1.79771,0.0008516,0.0008516,0.0008516
60,18855.9,3.38004,5.22197,5.65832,1.5014,0.52447,0.42652,0.42451,0.15762,0.50733,0.3894,0.38235,0.13041,3.64137,5.82862,6.41055,1.77438,0.0008318,0.0008318,0.0008318
61,19171.1,3.35525,5.17836,5.57493,1.48774,0.53568,0.43936,0.43552,0.16304,0.51328,0.39687,0.3922,0.13501,3.62884,5.79286,6.28678,1.78685,0.000812,0.000812,0.000812
62,19473.7,3.36509,5.20274,5.59937,1.49857,0.52731,0.43541,0.43334,0.16442,0.51619,0.40551,0.40071,0.14007,3.59271,5.80806,6.24948,1.73714,0.0007922,0.0007922,0.0007922
63,19779.3,3.34283,5.16742,5.54553,1.48519,0.53098,0.42654,0.42729,0.15898,0.51619,0.38882,0.38683,0.1314,3.6276,5.81466,6.35654,1.76487,0.0007724,0.0007724,0.0007724
64,20121.1,3.3418,5.16174,5.53217,1.48049,0.52065,0.41558,0.41485,0.15257,0.50133,0.36759,0.36484,0.12254,3.69106,5.91805,6.49565,1.79023,0.0007526,0.0007526,0.0007526
65,20426.1,3.36926,5.1997,5.60829,1.49142,0.54172,0.43346,0.43697,0.16579,0.51946,0.39167,0.38817,0.13566,3.59245,5.78648,6.25233,1.77929,0.0007328,0.0007328,0.0007328
66,20735.6,3.34051,5.1602,5.57643,1.49215,0.54246,0.42855,0.43593,0.1675,0.51873,0.3943,0.39286,0.13866,3.54044,5.69583,6.23081,1.75449,0.000713,0.000713,0.000713
67,21049.7,3.31731,5.13001,5.49724,1.48303,0.53031,0.45582,0.44505,0.16713,0.51871,0.42162,0.40998,0.14163,3.59526,5.7673,6.21718,1.74785,0.0006932,0.0006932,0.0006932
68,21361.9,3.33176,5.1627,5.53568,1.48529,0.54284,0.43219,0.43352,0.16532,0.51725,0.3889,0.38432,0.13332,3.58491,5.75494,6.22963,1.78238,0.0006734,0.0006734,0.0006734
69,21688.3,3.31304,5.13194,5.50673,1.47657,0.53404,0.42862,0.42609,0.15802,0.51319,0.37678,0.37167,0.12584,3.66543,5.86882,6.25093,1.79455,0.0006536,0.0006536,0.0006536
70,22009.1,3.3255,5.14991,5.52338,1.48491,0.5315,0.43834,0.43254,0.16035,0.51383,0.39542,0.38737,0.13276,3.63207,5.79152,6.25928,1.76505,0.0006338,0.0006338,0.0006338
71,22331,3.30282,5.10166,5.46515,1.46486,0.53398,0.44138,0.43697,0.16342,0.51456,0.40249,0.39253,0.13402,3.61399,5.79875,6.22128,1.757,0.000614,0.000614,0.000614
72,22660.8,3.30864,5.11746,5.43831,1.47082,0.53626,0.43933,0.43755,0.16675,0.51958,0.39712,0.39172,0.13703,3.57615,5.76133,6.21006,1.73904,0.0005942,0.0005942,0.0005942
73,22964.1,3.32266,5.13707,5.4894,1.47931,0.53251,0.43195,0.43297,0.16253,0.52029,0.39682,0.39473,0.13576,3.57222,5.75599,6.33966,1.75084,0.0005744,0.0005744,0.0005744
74,23280.3,3.28727,5.09923,5.44787,1.46954,0.53139,0.44266,0.43677,0.1635,0.51496,0.40738,0.3989,0.13771,3.60639,5.77988,6.24816,1.73466,0.0005546,0.0005546,0.0005546
75,23594,3.29244,5.10269,5.4142,1.46348,0.54377,0.45116,0.44654,0.16705,0.52531,0.41545,0.40682,0.14086,3.59848,5.75524,6.12898,1.7434,0.0005348,0.0005348,0.0005348
76,23903.2,3.29249,5.09501,5.41593,1.46195,0.54574,0.44054,0.44043,0.16651,0.52058,0.39854,0.39213,0.13543,3.57585,5.7281,6.16741,1.76197,0.000515,0.000515,0.000515
77,24215,3.27529,5.08271,5.37245,1.45976,0.5319,0.44061,0.43523,0.1626,0.51356,0.39602,0.3878,0.13253,3.63863,5.81473,6.1737,1.78279,0.0004952,0.0004952,0.0004952
78,24512.1,3.28439,5.0845,5.39559,1.45907,0.53976,0.43488,0.43643,0.16048,0.51341,0.39599,0.38906,0.13211,3.64182,5.82751,6.22832,1.77989,0.0004754,0.0004754,0.0004754
79,24840,3.27812,5.08883,5.40281,1.46231,0.5359,0.42974,0.42761,0.15706,0.50865,0.38228,0.37515,0.12633,3.64345,5.81827,6.28711,1.80145,0.0004556,0.0004556,0.0004556
80,25148.4,3.26873,5.09361,5.37544,1.45967,0.53674,0.44248,0.44237,0.16821,0.51589,0.40394,0.39961,0.13967,3.55861,5.71292,6.17923,1.75984,0.0004358,0.0004358,0.0004358
81,25441.7,3.27787,5.10536,5.38645,1.46361,0.53528,0.44406,0.44333,0.1692,0.52204,0.41228,0.40821,0.14511,3.56238,5.70067,6.16234,1.7272,0.000416,0.000416,0.000416
82,25738.7,3.24831,5.04131,5.33352,1.451,0.54808,0.43669,0.43379,0.16115,0.51373,0.39163,0.37792,0.13017,3.65663,5.86014,6.15263,1.78972,0.0003962,0.0003962,0.0003962
83,26043.4,3.26028,5.05789,5.29197,1.44736,0.54108,0.4485,0.4403,0.16357,0.51999,0.40231,0.3929,0.13391,3.6315,5.77536,6.12182,1.77606,0.0003764,0.0003764,0.0003764
84,26353.5,3.24989,5.05008,5.29329,1.44397,0.54929,0.44156,0.44201,0.16672,0.52298,0.39824,0.39301,0.13588,3.58902,5.73765,6.09734,1.77228,0.0003566,0.0003566,0.0003566
85,26689.2,3.2438,5.04034,5.30121,1.45005,0.53406,0.44301,0.43765,0.16414,0.51934,0.40651,0.39924,0.13943,3.60001,5.76242,6.18564,1.76079,0.0003368,0.0003368,0.0003368
86,27009.6,3.23743,5.02161,5.28081,1.44278,0.54806,0.45592,0.45075,0.16953,0.53172,0.42175,0.41164,0.14352,3.60694,5.73521,6.02378,1.75235,0.000317,0.000317,0.000317
87,27339.2,3.23679,5.03109,5.29425,1.45138,0.5364,0.43926,0.43472,0.16045,0.51487,0.39608,0.3865,0.13123,3.65157,5.82171,6.19976,1.78651,0.0002972,0.0002972,0.0002972
88,27636.8,3.21331,4.98442,5.22798,1.4357,0.5408,0.44618,0.44057,0.16404,0.51746,0.40554,0.39492,0.13427,3.62224,5.77715,6.13427,1.7693,0.0002774,0.0002774,0.0002774
89,27968.5,3.22607,5.00386,5.25427,1.4373,0.54058,0.44915,0.44469,0.16645,0.5229,0.41123,0.40225,0.13891,3.60678,5.73814,6.09777,1.76173,0.0002576,0.0002576,0.0002576
